Unnamed: 0,smiles,MW,clogp,tpsa,qed,bcl2,bclw,bclxl,mcl1,SAs
331,CC(C)(C)c1ccc(S(=O)(=O)NCCC(=O)N2CCN(S(=O)(=O)c3ccccc3[N+](=O)[O-])CC2)cc1,538.1555913,2.0938,147.0,0.3997693473299565,4.981709003448486,5.105428695678711,4.899245262145996,5.04212760925293,2.40119635593112
332,COc1ccc(S(=O)(=O)N2CCCCCC2)cc1C(=O)N1CCN(S(=O)(=O)c2ccccc2[N+](=O)[O-])CC1,566.15050592,2.3148,147.44,0.3663727007739992,5.675897598266602,6.142106056213379,5.752616882324219,5.909822463989258,2.402379363113239
333,Cc1ccc(S(=O)(=O)NC(C)(C)C)cc1C(=O)N1CCN(S(=O)(=O)c2ccc([N+](=O)[O-])cc2)CC1,524.139941236,2.12672,147.0,0.4496206409651937,5.425033092498779,6.075993537902832,5.920948028564453,5.3939208984375,2.3763945865209166
334,COc1ccc(S(=O)(=O)N2CCN(C(=O)c3ccc(OCC4CCCO4)cc3)CC2)cc1[N+](=O)[O-],505.1518858239999,2.3079,128.52000000000004,0.394881144167558,5.9798665046691895,5.5062031745910645,5.316683769226074,5.104937553405762,2.7487332176247694
335,CCCCn1c(N)c(N(CC(C)C)C(=O)c2ccc(N3CCN(C(C)=O)CC3)c([N+](=O)[O-])c2)c(O)nc1=O,529.2648818399999,2.210700000000001,168.14,0.3652841651697904,5.960247993469238,5.183029174804688,5.049129962921143,7.231132507324219,2.9769346226000426
336,CC(C)CSc1ccc(S(=O)(=O)NCC(=O)NCc2ccc(N3CCOCC3)nc2)cc1[N+](=O)[O-],523.155925648,2.1692,143.77,0.2571535915436577,5.702978134155273,5.721473217010498,4.646317958831787,6.230968475341797,2.651559117734381
337,CC(=O)N1CCN(c2ccc(C(=O)N(CC(C)C)c3c(O)nc(=O)n(Cc4ccccc4)c3N)cc2[N+](=O)[O-])CC1,563.249231776,2.4589,168.14,0.3088458608384034,7.519452095031738,6.794564723968506,6.565147399902344,6.167803287506104,2.909206003327151
338,COc1ccc(OC)c(S(=O)(=O)N2CCN(C(=O)c3ccc(N4CCCC4)c([N+](=O)[O-])c3)CC2)c1,504.167870236,2.3589,122.53,0.4160141736870459,5.791492938995361,5.707733154296875,6.001976490020752,5.539120674133301,2.300157861847413
339,CCN(CC)S(=O)(=O)c1ccc(N2CCC(C(=O)N3CCC(C(=O)OC)CC3)CC2)c([N+](=O)[O-])c1,510.214820428,2.2533000000000003,130.37,0.2956865831925953,6.92236852645874,5.833688735961914,7.67287540435791,5.2520246505737305,2.4890520435585586
340,CN(C)S(=O)(=O)c1ccc(N2CCN(S(=O)(=O)c3cccc(C(F)(F)F)c3)CC2)c([N+](=O)[O-])c1,522.0854610519999,2.3748000000000005,121.14,0.4218524098770027,6.603012561798096,5.478991508483887,6.003866195678711,5.273340225219727,2.3991095793207347
341,CNS(=O)(=O)c1ccc(N2CCN(Cc3nc(O)c4c5c(sc4n3)CCCC5)CC2)c([N+](=O)[O-])c1,518.1406099320001,2.4142,141.8,0.3714941674621842,6.45848274230957,6.013782501220703,6.019186496734619,5.569401264190674,2.799174202649468
342,CCN(CC)S(=O)(=O)c1ccc(N2CCN(C(=O)C(C)NC(=O)c3ccccc3)CC2)c([N+](=O)[O-])c1,517.199504712,2.0924000000000005,133.17000000000002,0.3977041502040172,6.881267070770264,5.996036529541016,7.670863628387451,5.341825485229492,2.786239201361681
343,CCN(CC)S(=O)(=O)c1ccc(N2CCN(S(=O)(=O)c3cccc(C(C)=O)c3)CC2)c([N+](=O)[O-])c1,524.1399412359999,2.338800000000001,138.21,0.2767615880176536,6.253513813018799,5.93331241607666,6.930033683776856,5.391785144805908,2.397783374530219
344,NS(=O)(=O)c1cccc(NC(=O)CCN2CCN(c3ccc(C(F)(F)F)cc3[N+](=O)[O-])CC2)c1,501.129374464,2.4118000000000004,138.88,0.4387718175941267,5.765577793121338,5.355024337768555,5.703597545623779,4.817841529846191,2.354623276045846
345,O=C(N1CCN(c2ccc(S(=O)(=O)N3CCOCC3)cc2[N+](=O)[O-])CC1)C12CC3CC(CC(C3)C1)C2,518.219905808,2.480700000000001,113.3,0.4346451883075325,5.423878192901611,5.507407188415527,5.228373050689697,5.443193912506104,3.741959490373669
346,CN1CCN(S(=O)(=O)c2ccc(N3CCC(C(=O)Nc4ccccc4O)CC3)c([N+](=O)[O-])c2)CC1,503.183854648,2.0915999999999992,136.33,0.3474416997032472,5.780694007873535,5.713172435760498,6.358305931091309,5.482980251312256,2.3749313312351674
347,CCN(CC)S(=O)(=O)c1ccc(N2CCN(C(=O)c3cccc(N4C(=O)CCC4=O)c3)CC2)c([N+](=O)[O-])c1,543.178769268,2.2411000000000003,141.45000000000002,0.2803868505170581,6.243443965911865,6.132893085479736,6.737200736999512,5.698132991790772,2.5594375053483613
348,CC(=O)N1CCN(c2ccc(C(=O)Nc3ccc(S(=O)(=O)N4CC(C)OC(C)C4)cc3)cc2[N+](=O)[O-])CC1,545.1944193319998,2.3135000000000003,142.4,0.4304779460999891,5.527482986450195,6.092545509338379,5.497429847717285,5.646154880523682,3.148681440454709
349,O=[N+]([O-])c1ccc(NCc2ccc(S(=O)(=O)N3CCCCC3)cc2)c(S(=O)(=O)N2CCOCC2)c1,524.1399412359999,2.402400000000001,139.16,0.410231243999772,5.600677013397217,5.115295886993408,5.856673240661621,5.563975811004639,2.3952203564956207
350,COc1ccc(S(=O)(=O)N2CCN(CC(=O)N(C)Cc3ccc(SC)cc3)CC2)cc1[N+](=O)[O-],508.145026616,2.2902,113.3,0.2880463553973902,5.493336200714111,4.941495895385742,5.269681453704834,5.040948867797852,2.3793884573984663
351,Cc1ccc(NC(=O)CCNc2ccc(S(N)(=O)=O)cc2[N+](=O)[O-])cc1S(=O)(=O)N1CCCCC1,525.135190204,2.16592,181.81,0.3286130926823394,5.667379379272461,5.720582008361816,4.870253562927246,6.338881015777588,2.4080621397124045
352,CC1CCCN(S(=O)(=O)c2ccc(C(=O)NCCNc3ccc(S(C)(=O)=O)cc3[N+](=O)[O-])cc2)C1,524.139941236,2.2608,155.79000000000002,0.2874045451413521,6.1379714012146,6.023309707641602,6.186142444610596,5.252534866333008,2.815608960631762
353,CCN(CC)S(=O)(=O)c1ccc(N2CCN(S(=O)(=O)c3ccc(C(C)=O)cc3)CC2)c([N+](=O)[O-])c1,524.1399412359999,2.3388,138.21,0.2767615880176536,5.91583251953125,5.697539806365967,6.227663993835449,5.287168979644775,2.362682645785279
354,O=C(CN1CCN(c2ccc(S(=O)(=O)N3CCOCC3)cc2[N+](=O)[O-])CC1)Nc1ccccc1C(F)(F)F,557.155589212,2.3952000000000018,125.33,0.4065809993679075,4.767094612121582,5.069787979125977,4.897212028503418,4.664604187011719,2.4642168086865333
355,O=C(Nc1ccccc1)C1CCCN(c2ccc(S(=O)(=O)NCCN3CCOCC3)cc2[N+](=O)[O-])C1,517.1995047119999,2.0604,134.12,0.3813794452724681,5.064427375793457,5.197202205657959,4.68242073059082,5.274554252624512,2.8242764611892337
